	TF	Target	Label
1026	31031	15460	1
1027	31031	33882	1
1030	31053	21358	1
1031	31053	31798	1
1039	31316	27508	1
1041	31331	29389	1
1042	31331	31846	1
1045	31493	22284	1
1046	31493	36087	1
1048	31655	6966	1
1049	31655	8183	1
1050	31655	8189	1
1051	31655	8224	1
1053	31655	13490	1
1054	31655	19001	1
1056	31655	27203	1
1057	31655	27557	1
1060	31655	32266	1
1061	31655	35847	1
1064	31705	15014	1
1066	31705	18087	1
1069	31705	25781	1
1071	31705	27334	1
1072	31705	28496	1
1073	31705	28528	1
1075	31798	14789	1
1077	31798	32044	1
1078	31837	11740	1
1079	31889	1444	1
1080	31889	3165	1
1082	31889	28541	1
1084	31920	7317	1
1097	33882	9360	1
1098	33882	15460	1
1101	33886	3443	1
1102	34007	3599	1
1103	34007	12154	1
1105	34156	3599	1
1107	34244	25600	1
1112	34737	978	1
1113	34737	8523	1
1114	34737	16398	1
1115	34737	22229	1
1116	34737	34392	1
1117	34902	3449	1
1118	34902	29541	1
1120	35279	35319	1
1121	35379	5160	1
1123	35379	36742	1
1135	35524	8748	1
1136	35760	17636	1
1138	35776	14307	1
1139	35776	14747	1
1140	35776	19196	1
1141	35776	21784	1
1142	35847	6966	1
1144	35847	13490	1
1145	35847	27557	1
1148	35847	32266	1
1149	36146	15512	1
1150	36175	1444	1
1151	36175	13591	1
1152	36175	21114	1
1153	36175	27123	1
1154	36175	27124	1
1155	36175	27125	1
1158	36293	27828	1
1162	36295	22562	1
1163	36295	23130	1
1165	36295	36991	1
1166	36335	27123	1
1167	36335	27125	1
1169	36352	15679	1
1170	36352	16207	1
1171	36352	23507	1
1172	36352	25669	1
1173	36352	27828	1
1174	36352	31890	1
1193	36415	28541	1
1194	36415	28543	1
1195	36415	32212	1
1197	36454	2814	1
1199	36454	7466	1
1201	36454	30828	1
1202	36454	35760	1
1205	36966	8342	1
1206	36966	24802	1
34183	57	15679	0
56832	146	13794	0
86134	978	21652	0
77749	978	8253	0
113506	1369	26830	0
102646	1369	9159	0
106699	1369	15679	0
150986	2371	9159	0
152300	2371	12234	0
180028	2406	17333	0
217233	2419	36983	0
261919	2574	31730	0
285740	2690	31308	0
274237	2690	13620	0
299547	2814	15028	0
293588	2814	6003	0
297798	2814	12819	0
312271	2814	34964	0
299095	2814	14463	0
290775	2814	1635	0
290292	2814	295	0
307286	2814	27334	0
301051	2814	17572	0
314880	3049	1444	0
330069	3049	25600	0
329268	3049	23425	0
390620	3192	6448	0
398867	3192	18980	0
406426	3192	31115	0
387473	3192	1711	0
412465	3443	2921	0
423111	3443	19076	0
415165	3443	7006	0
421195	3443	16207	0
420182	3443	14747	0
434076	3443	36119	0
425047	3443	22284	0
434388	3443	36510	0
454767	3456	31115	0
464589	3599	8388	0
473392	3599	22284	0
489308	3696	9060	0
505796	3696	35178	0
489851	3696	9751	0
501587	3696	28496	0
511304	3735	6225	0
623983	3931	31115	0
640093	4020	18354	0
637498	4020	14463	0
637539	4020	14511	0
639555	4020	17691	0
639872	4020	18087	0
672318	4083	31115	0
656339	4083	6225	0
658327	4083	8813	0
672831	4083	31734	0
670789	4083	28494	0
664885	4083	19130	0
671393	4083	29541	0
667017	4083	22591	0
685781	4309	14399	0
688937	4309	18989	0
736000	4341	17388	0
767909	4588	29211	0
875886	5442	8828	0
883551	5442	21349	0
916944	5674	35447	0
911762	5674	27557	0
899350	5674	7939	0
898717	5674	7158	0
941692	5697	36119	0
956065	5798	21350	0
981009	6281	22284	0
1036017	6374	32564	0
1017199	6374	3449	0
1019766	6374	7392	0
1038349	6374	36087	0
1103974	6697	26092	0
1099357	6697	18354	0
1110463	6697	35612	0
1184635	7390	295	0
1204699	7390	31846	0
1207398	7390	35922	0
1204980	7390	32188	0
1194320	7390	15549	0
1227918	7540	30698	0
1213549	7540	7911	0
1208850	7540	371	0
1217554	7540	14399	0
1218950	7540	16398	0
1209226	7540	1444	0
1208802	7540	295	0
1339355	8119	15549	0
1358339	8183	7613	0
1361850	8183	13490	0
1371815	8183	28553	0
1366301	8183	19705	0
1367258	8183	21692	0
1360965	8183	12339	0
1419694	8224	27953	0
1417669	8224	25431	0
1427209	8241	2346	0
1446763	8241	32266	0
1443503	8241	27508	0
1436137	8241	15679	0
1435287	8241	14613	0
1543017	8486	31734	0
1530086	8486	12234	0
1531161	8486	13620	0
1523959	8486	2435	0
1540454	8486	27828	0
1532180	8486	14863	0
1563229	8682	26092	0
1551713	8682	7613	0
1556501	8682	15060	0
1567535	8682	32157	0
1569649	8682	35540	0
1552869	8682	9060	0
1561210	8682	22395	0
1593888	8818	35612	0
1632517	9142	20879	0
1727226	9360	17636	0
1739528	9360	36347	0
1723798	9360	12663	0
1813173	9764	456	0
1871213	12154	15679	0
1868474	12154	12234	0
1861940	12154	1711	0
1864910	12154	6225	0
1870913	12154	15287	0
1869548	12154	13620	0
1879362	12154	28494	0
1910232	12670	1635	0
1910936	12670	2757	0
1952364	12701	29358	0
1968941	12709	17669	0
1991117	12722	14511	0
1983102	12722	2318	0
1986297	12722	7006	0
2010762	12838	7392	0
2043211	12931	20079	0
2048659	12931	28644	0
2036742	12931	9669	0
2120123	13337	27334	0
2135490	13357	13715	0
2136807	13357	15322	0
2146073	13357	30040	0
2145266	13357	28543	0
2226381	13591	4278	0
2235888	13591	18980	0
2243608	13591	31308	0
2275988	14010	6448	0
2295955	14010	36967	0
2310403	14014	22263	0
2367298	14022	35540	0
2346457	14022	3259	0
2387146	14118	28725	0
2369090	14118	412	0
2424367	14307	12168	0
2426663	14307	15060	0
2435358	14307	28564	0
2435027	14307	28120	0
2430909	14307	21829	0
2418859	14307	3118	0
2650625	15081	25708	0
2658087	15081	36404	0
2640390	15081	8813	0
2681865	15329	35922	0
2673557	15329	22962	0
2670393	15329	18229	0
2718260	15445	17636	0
2733218	15460	3259	0
2731430	15460	62	0
2741305	15460	15549	0
2739124	15460	12819	0
2818022	15512	22263	0
2804198	15512	412	0
2816062	15512	19024	0
2826101	15512	34950	0
2821144	15512	27355	0
2810263	15512	9669	0
2804137	15512	295	0
2820075	15512	25999	0
2806724	15512	4544	0
2814975	15512	17669	0
2817548	15512	21692	0
2818577	15512	22949	0
2822060	15512	28494	0
2813818	15512	15549	0
2858650	15527	9728	0
2861731	15527	15028	0
2900889	15577	456	0
2912702	15577	18962	0
2949206	15756	371	0
2964858	15756	25708	0
3006462	16142	14641	0
3013529	16142	26099	0
3013702	16142	26321	0
3013708	16142	26329	0
3039725	16387	28644	0
3142983	17835	1508	0
3149255	17835	11733	0
3179253	17884	19840	0
3180134	17884	21692	0
3185249	17884	29541	0
3189654	17884	36119	0
3191739	18037	2346	0
3197927	18037	12234	0
3213391	18037	35612	0
3196420	18037	8911	0
3220785	18041	9159	0
3227338	18041	19460	0
3214829	18041	11	0
3222510	18041	12753	0
3222148	18041	12296	0
3244761	18080	8911	0
3243550	18080	7392	0
3268809	18227	8748	0
3275372	18227	19076	0
3281845	18227	29374	0
3331440	18324	31413	0
3320671	18324	14613	0
3329801	18324	28662	0
3320876	18324	14863	0
3331524	18324	31518	0
3355026	18490	30698	0
3340225	18490	7381	0
3340046	18490	7158	0
3361838	18527	3449	0
3407900	18644	37007	0
3456764	19001	295	0
3477135	19001	32212	0
3456825	19001	412	0
3486404	19019	8813	0
3484416	19019	6225	0
3497825	19019	27194	0
3526222	19196	33895	0
3528015	19196	36087	0
3509140	19196	7006	0
3508409	19196	6003	0
3519003	19196	22263	0
3519109	19196	22395	0
3510422	19196	8628	0
3505186	19196	456	0
3506440	19196	2921	0
3523038	19196	28494	0
3520869	19196	25781	0
3516408	19196	18229	0
3524608	19196	31171	0
3510508	19196	8726	0
3527063	19196	34932	0
3515975	19196	17691	0
3527873	19196	35922	0
3534670	19305	8726	0
3582927	19455	8628	0
3593817	19455	26329	0
3597401	19455	31518	0
3593638	19455	26099	0
3582117	19455	7613	0
3585005	19455	12663	0
3578059	19455	1508	0
3583796	19455	9728	0
3752046	21358	8523	0
3774293	21399	6003	0
3791408	21399	32266	0
3813286	21574	28725	0
3876730	22061	14747	0
3876944	22061	15028	0
4002688	22302	22591	0
3992804	22302	7317	0
3991186	22302	4626	0
4003824	22302	25205	0
3988978	22302	1508	0
4007311	22302	30040	0
4007994	22302	31115	0
4035072	22562	35447	0
4012778	22562	456	0
4043921	22594	12234	0
4190426	23319	14100	0
4187674	23319	9202	0
4224132	23451	28644	0
4239105	23803	14511	0
4258381	24802	6827	0
4287355	25166	14399	0
4289822	25166	18136	0
4300857	25166	35318	0
4279836	25166	2803	0
4302774	25191	295	0
4325271	25191	35599	0
4346450	25855	31171	0
4327389	25855	1508	0
4393262	26203	28543	0
4385073	26203	15679	0
4389058	26203	22111	0
4398455	26203	36404	0
4441681	26518	28644	0
4435534	26518	18980	0
4470746	26632	36119	0
4561381	26986	27194	0
4602412	27018	15400	0
4632495	27123	25431	0
4620963	27123	6827	0
4638967	27123	34932	0
4637247	27123	32044	0
4630546	27123	21829	0
4634192	27123	27557	0
4625765	27123	14399	0
4631601	27123	23120	0
4632301	27123	25205	0
4635179	27123	28786	0
4647308	27124	9669	0
4646590	27124	8748	0
4663893	27124	35870	0
4663313	27124	35178	0
4648219	27124	12234	0
4652437	27124	18187	0
4650863	27124	15549	0
4646573	27124	8726	0
4652393	27124	18136	0
4650314	27124	14863	0
4646441	27124	8577	0
4663921	27124	35903	0
4665431	27125	501	0
4684659	27125	30943	0
4675026	27125	15549	0
4677271	27125	19024	0
4683786	27125	29374	0
4672382	27125	12234	0
4677239	27125	18980	0
4683401	27125	28662	0
4678874	27125	21829	0
4701090	27130	18579	0
4735185	27203	34392	0
4714202	27203	1751	0
4733314	27203	31330	0
4728560	27203	23507	0
4745357	27341	12819	0
4743578	27341	9159	0
4737923	27341	456	0
4746109	27341	13794	0
4760212	27341	35447	0
4743299	27341	8795	0
4746987	27341	14863	0
4779428	27350	27828	0
4895743	27862	20996	0
4892163	27862	15060	0
4906494	27862	36967	0
4907471	27877	1444	0
4936483	27975	8577	0
4959392	27990	6966	0
4981168	28001	3258	0
4999845	28001	32091	0
5045959	28188	28644	0
5079909	28420	6448	0
5082019	28420	9202	0
5159956	28516	18087	0
5180337	28528	12663	0
5177448	28528	7613	0
5209586	28541	19705	0
5215238	28541	28725	0
5202518	28541	8726	0
5216241	28541	30698	0
5206811	28541	15549	0
5202345	28541	8523	0
5216584	28541	31115	0
5239462	28638	28786	0
5244456	28638	36404	0
5228286	28638	12168	0
5244817	28638	36851	0
5263998	29039	29541	0
5259375	29039	22284	0
5267957	29039	35599	0
5250727	29039	8577	0
5278388	29062	14399	0
5277023	29062	12663	0
5287569	29062	28496	0
5275673	29062	9545	0
5308687	29146	23507	0
5339956	29277	34950	0
5404397	29486	22263	0
5493126	29980	9417	0
5506890	29980	31413	0
5520404	29982	14747	0
5534883	29982	36851	0
5540641	30005	8388	0
5558979	30005	36742	0
5541069	30005	8914	0
5560620	30121	2435	0
5581676	30121	34950	0
5577369	30121	28137	0
5580818	30121	33895	0
5568218	30121	14100	0
5592909	30123	14733	0
5652546	30567	32157	0
5691960	30692	18354	0
5698487	30692	28496	0
5687948	30692	12663	0
5702807	30692	35318	0
5684560	30692	6966	0
5696224	30692	25669	0
5692502	30692	19039	0
5696573	30692	26092	0
5698531	30692	28553	0
5681049	30692	1635	0
5680450	30692	152	0
5702538	30692	34964	0
5693425	30692	20996	0
5688604	30692	13530	0
5684885	30692	7392	0
5682086	30692	3165	0
5695148	30692	23120	0
5698669	30692	28725	0
5682182	30692	3278	0
5712767	30722	13530	0
5742040	30828	21350	0
5741436	30828	19840	0
5737650	30828	14399	0
5791521	30951	22737	0
5802934	31031	3165	0
5820553	31031	30724	0
5815413	31031	22395	0
5828070	31053	4400	0
5825676	31053	501	0
5912552	31316	22949	0
5922782	31331	1711	0
5931586	31331	15086	0
5990898	31493	32091	0
5992579	31493	34932	0
6017697	31655	36087	0
6003836	31655	14747	0
6016981	31655	35237	0
6014894	31655	31890	0
5999538	31655	7911	0
6012851	31655	28662	0
6018433	31655	37007	0
6007932	31655	21349	0
6008684	31655	22263	0
6000731	31655	9417	0
6021442	31705	4400	0
6042574	31705	36967	0
6034903	31705	25999	0
6039192	31705	32044	0
6032871	31705	22284	0
6041723	31705	35922	0
6087669	31798	32212	0
6085416	31798	28725	0
6108883	31837	27828	0
6117114	31889	3103	0
6124453	31889	14467	0
6118550	31889	5160	0
6147324	31920	12819	0
6280141	33882	31115	0
6274814	33882	22566	0
6320960	33886	19024	0
6333071	34007	130	0
6355970	34007	35922	0
6362597	34156	8523	0
6393434	34244	18962	0
6435202	34737	8628	0
6431378	34737	3118	0
6439628	34737	15604	0
6445598	34737	25716	0
6445839	34737	25999	0
6459827	34902	9202	0
6471996	34902	28494	0
6498647	35279	32266	0
6511485	35379	14789	0
6515196	35379	20879	0
6604208	35524	8388	0
6632203	35760	14613	0
6661208	35776	22111	0
6666903	35776	31115	0
6667145	35776	31413	0
6655636	35776	13715	0
6690931	35847	30943	0
6674623	35847	5595	0
6686492	35847	23507	0
6681122	35847	15322	0
6715104	36146	30943	0
6731841	36175	18962	0
6723251	36175	6003	0
6740232	36175	32091	0
6729265	36175	15086	0
6732237	36175	19460	0
6741913	36175	34932	0
6762661	36293	29541	0
6790794	36295	35599	0
6777954	36295	15508	0
6771306	36295	5595	0
6801281	36335	14467	0
6810642	36335	28786	0
6829786	36352	21350	0
6834704	36352	28662	0
6823360	36352	11740	0
6836877	36352	32044	0
6831235	36352	23120	0
6835962	36352	30943	0
6882648	36415	28137	0
6870921	36415	9417	0
6867465	36415	4400	0
6924090	36454	17572	0
6926468	36454	21349	0
6922615	36454	15060	0
6925227	36454	18980	0
6987368	36966	3165	0
6992938	36966	12296	0
