	TF	Target	Label
1326	29062	179	0
1481	3134	26882	0
1236	27203	226	0
968	19196	34367	0
109	36295	23130	1
1063	9764	31623	0
426	27203	6966	1
251	3599	28541	1
301	31265	12663	1
161	14278	13757	1
695	17835	12816	1
920	36295	31298	0
1156	15527	7299	0
493	14307	17572	1
884	3443	31218	0
46	12404	27355	1
105	20941	15329	1
1051	18698	6105	0
1364	25166	13826	0
1606	30692	7370	0
313	15512	4626	1
990	36400	2497	0
810	3192	18643	0
1287	15445	19884	0
1337	36352	8012	0
821	26203	4160	0
1178	3696	19742	0
712	12032	19705	1
11	26203	30776	1
713	12032	21760	1
205	8682	27828	1
202	8682	12673	1
1074	1369	31044	0
743	31889	3165	1
76	3443	36903	1
392	12154	3443	1
74	3443	22071	1
1557	13378	12185	0
605	21701	28496	1
1050	18698	24728	0
1523	12032	11773	0
684	19001	12154	1
1003	30927	27893	0
1188	25855	7647	0
1427	19447	15206	0
901	12670	35351	0
1570	34156	19833	0
1452	4020	23433	0
1127	15512	22168	0
1397	15577	23265	0
84	9563	19599	1
1334	36747	12334	0
508	31705	25781	1
748	28541	3599	1
1248	3049	24005	0
279	4614	27482	1
56	3122	409	1
689	12931	22302	1
26	12404	8253	1
846	12404	2878	0
1571	31655	27185	0
914	20941	7258	0
1587	27341	33243	0
261	1369	22364	1
353	8189	26349	1
1340	36352	11652	0
921	36295	12242	0
1226	8486	16825	0
1356	22302	27952	0
518	29062	15058	1
517	29062	8183	1
491	14307	14747	1
813	3192	27004	0
164	14278	32044	1
1338	36352	2251	0
1319	31705	3556	0
192	30927	22852	1
716	12032	34950	1
219	27125	5461	1
1160	30828	22035	0
1179	32285	34012	0
882	3443	9096	0
886	3443	27017	0
786	27437	23939	1
1317	31705	13655	0
815	3192	4422	0
1095	15550	28419	0
1220	7390	11707	0
1547	21187	7978	0
970	19196	5571	0
795	30692	7939	1
1528	3818	3264	0
437	3049	12673	1
369	32285	18909	1
1589	27341	36781	0
578	23143	7390	1
126	33240	22591	1
1049	18698	36374	0
188	30927	8474	1
697	17835	14423	1
1031	27125	30872	0
345	33882	35422	1
415	8241	35319	1
1075	31920	6681	0
246	18698	34740	1
877	3443	14668	0
575	14462	35506	1
1211	7390	21011	0
742	31889	1444	1
1507	17835	15673	0
817	3192	14120	0
917	36295	21439	0
858	12404	25580	0
421	8486	30828	1
958	19196	22477	0
849	12404	19883	0
1013	8682	5401	0
802	30692	18989	1
1235	26684	37053	0
1601	30692	27418	0
1419	28444	23460	0
1607	30692	30790	0
1362	25166	30302	0
628	29146	13530	1
1242	27203	35556	0
58	3122	22498	1
962	19196	32079	0
662	2814	28564	1
111	36295	36991	1
20	12404	313	1
425	26684	15060	1
1301	14307	5051	0
522	29062	36400	1
1592	27341	2541	0
102	29486	35922	1
853	12404	18112	0
1354	22302	23328	0
1540	35423	23512	0
1591	27341	34188	0
1271	27123	13811	0
699	21399	30567	1
1209	12154	3968	0
79	9563	8342	1
453	27123	2451	1
1038	31493	21726	0
1508	21358	6485	0
1118	27862	7436	0
162	14278	22057	1
1420	6281	18992	0
1291	5	3258	0
746	31889	35506	1
2	3192	2419	1
314	15512	7756	1
223	27125	21692	1
270	4614	2814	1
110	36295	36400	1
1428	19447	14091	0
1320	31705	12784	0
473	35379	36742	1
90	12670	21349	1
324	15512	31413	1
972	14278	34613	0
385	6520	19455	1
1522	12032	4770	0
509	31705	25782	1
1299	5	19470	0
266	7887	11740	1
115	26518	36404	1
1593	27341	22858	0
1244	34007	27509	0
827	30503	16971	0
927	30121	37090	0
934	33240	34776	0
9	26203	12663	1
333	22071	14747	1
655	2814	2757	1
435	34007	26349	1
234	22184	22364	1
1315	31705	4171	0
1103	18037	26498	0
621	14554	17691	1
1024	22594	481	0
574	14462	29378	1
1358	22302	1235	0
1445	22929	31166	0
1435	14554	6761	0
797	30692	14307	1
923	26518	13868	0
245	18698	34737	1
67	3443	7381	1
1309	8979	21602	0
1060	3599	7911	0
29	12404	9417	1
128	33240	26830	1
267	25989	19017	1
500	8979	36400	1
690	12931	27833	1
1218	7390	16015	0
259	1369	12673	1
1473	2814	34954	0
220	27125	5697	1
640	14022	12154	1
103	14835	15495	1
10	26203	15549	1
873	8224	9709	0
779	27341	26349	1
165	6374	212	1
851	12404	3034	0
952	19196	19356	0
816	3192	8051	0
1155	33882	25562	0
516	29062	3852	1
1224	8241	7251	0
351	30828	26806	1
1414	21701	8864	0
835	12404	25659	0
1041	31493	11904	0
660	2814	14827	1
1355	22302	14481	0
1126	15512	19095	0
953	19196	3119	0
677	28516	25166	1
364	3696	12154	1
759	34156	3599	1
1200	23803	22650	0
86	9563	22962	1
892	9563	32192	0
872	6373	25803	0
1292	5	30850	0
122	26986	11740	1
1448	22929	30235	0
378	25855	14733	1
1276	36175	34057	0
592	8119	26349	1
178	36400	22072	1
1618	30692	21973	0
812	3192	7691	0
1381	14462	524	0
16	14010	36400	1
991	36400	27005	0
644	4020	3118	1
1529	36966	12409	0
1616	30692	6571	0
283	4614	35760	1
306	27862	7613	1
814	3192	17862	0
703	22061	29277	1
360	21626	9711	1
1456	4020	22137	0
888	9563	25102	0
683	19001	3599	1
504	31705	15357	1
1281	35379	10561	0
819	26203	35447	0
1615	30692	36195	0
1461	8456	34549	0
1350	15460	2145	0
1056	18698	2503	0
596	35847	27557	1
774	31655	35847	1
420	8486	14511	1
547	22302	26986	1
673	3134	34356	1
533	2419	12154	1
946	8401	33797	0
197	29980	11740	1
1561	28541	19111	0
129	33240	34180	1
1105	28420	18476	0
704	12032	2435	1
749	28541	8189	1
1132	15512	14166	0
147	19196	18909	1
1572	31655	29834	0
1201	12154	7875	0
169	6374	35178	1
1434	14554	33662	0
1563	28541	11874	0
319	15512	18354	1
1324	19019	13128	0
1265	27123	10718	0
918	36295	23276	0
1174	3696	27946	0
21	12404	1751	1
1408	35847	26280	0
979	6374	8954	0
80	9563	9919	1
100	2574	28137	1
626	14554	30005	1
277	4614	25482	1
157	19196	35776	1
414	8241	35178	1
209	23451	15381	1
1152	31798	6713	0
1352	22302	12419	0
925	26518	25979	0
318	15512	15508	1
878	3443	29351	0
1138	15512	35241	0
1134	15512	3098	0
688	12931	20996	1
874	8224	26416	0
800	30692	15577	1
1117	27862	9116	0
1413	21701	34016	0
1028	27125	14808	0
1001	30927	9041	0
702	22061	17669	1
358	26632	31801	1
531	36352	27828	1
443	12722	14641	1
1443	5442	9275	0
1111	31265	14410	0
1325	19019	2084	0
94	18879	14467	1
715	12032	31288	1
871	3931	29142	0
720	36966	24802	1
1368	8818	19509	0
1336	36352	36049	0
739	28188	20079	1
1170	21626	797	0
945	8401	33167	0
993	36400	8813	0
804	30692	25908	1
257	12701	15381	1
365	3696	12701	1
484	5	7756	1
1000	30927	17160	0
1308	14307	36120	0
992	36400	36365	0
68	3443	12056	1
1495	19001	19561	0
36	12404	19130	1
630	5442	1782	1
1513	22061	12322	0
1436	14554	13459	0
961	19196	3368	0
552	25166	8401	1
1542	57	35231	0
805	30692	26830	1
214	22594	28543	1
1330	29062	36791	0
444	12722	17264	1
1273	27123	17513	0
184	36400	30724	1
932	26986	27941	0
1376	14462	35471	0
601	21701	7052	1
1549	28188	32454	0
396	12154	21350	1
404	7390	8914	1
1258	5674	29538	0
902	14381	21189	0
831	12404	21764	0
1267	27123	27321	0
771	31655	27686	1
1159	30828	27432	0
1114	31265	10618	0
586	15577	21722	1
82	9563	14307	1
553	25166	9360	1
1388	23143	14735	0
717	14423	9360	1
980	6374	25988	0
429	27203	27557	1
1008	29980	12820	0
1550	28188	14795	0
81	9563	12670	1
412	8241	28494	1
1536	25191	12140	0
143	19196	16142	1
832	12404	8858	0
1379	14462	287	0
1619	30692	36413	0
1598	18236	33595	0
969	19196	25302	0
1384	14462	5546	0
374	1987	22057	1
730	35423	19447	1
370	1987	7390	1
1005	30927	18511	0
145	19196	17572	1
1463	15756	25269	0
315	15512	12597	1
768	31655	22072	1
439	3049	28790	1
294	18037	19024	1
987	36400	31880	0
1392	23143	3494	0
1290	14020	4145	0
305	31316	27508	1
1597	27437	16043	0
239	18698	12339	1
1274	9224	36324	0
206	8682	28790	1
77	8342	26349	1
1604	30692	14613	0
1071	1369	19088	0
692	3456	11740	1
649	8456	7756	1
1553	31889	10614	0
34	12404	16477	1
310	15512	456	1
37	12404	19196	1
1078	25989	36006	0
376	30609	26349	1
1227	8486	7593	0
195	30927	34580	1
255	12701	3852	1
322	15512	22594	1
212	9142	27334	1
1406	35847	8638	0
1367	25166	34946	0
1506	17835	4770	0
960	19196	30787	0
60	3122	28528	1
999	30927	25722	0
1459	8456	18803	0
944	8401	17665	0
1562	28541	28120	0
1569	34156	33706	0
455	27123	5697	1
922	26518	18269	0
963	19196	35437	0
523	29062	36991	1
789	30692	2318	1
235	22184	35447	1
1409	35847	7091	0
1374	22562	13594	0
497	14307	36759	1
554	25166	12816	1
389	6520	35195	1
1310	8979	15128	0
1332	29062	12287	0
1440	5442	3420	0
1046	29378	16947	0
1252	12722	18542	0
70	3443	14872	1
1498	12931	14439	0
65	8224	35319	1
384	6520	19196	1
1605	30692	14789	0
936	33240	30758	0
1186	30609	32314	0
1614	30692	22960	0
567	14462	8342	1
1573	31655	13251	0
900	12670	9581	0
1491	35776	21494	0
225	27125	31337	1
594	35847	11911	1
316	15512	14733	1
1564	28541	11782	0
433	34007	3599	1
295	28420	4278	1
1431	14554	3682	0
273	4614	7466	1
379	25855	18879	1
50	12404	34172	1
549	19305	34180	1
615	19447	27124	1
1190	6520	19260	0
213	9142	35578	1
1288	14020	6311	0
731	57	23451	1
1482	3134	28941	0
881	3443	19185	0
89	9563	36352	1
1058	33886	2472	0
380	6520	3443	1
27	12404	8577	1
595	35847	13490	1
778	27341	25600	1
617	19447	35319	1
501	31705	409	1
956	19196	21	0
346	15527	146	1
863	12404	17541	0
588	15577	30292	1
22	12404	3118	1
701	22061	318	1
1417	21701	36271	0
407	7390	14462	1
1119	15512	15206	0
1217	7390	31635	0
49	12404	32368	1
565	14462	3595	1
262	1369	27828	1
1347	15460	12554	0
1257	12722	35921	0
71	3443	19196	1
556	25166	14423	1
576	14462	36531	1
1516	12032	8526	0
1181	1987	19737	0
418	8486	7466	1
573	14462	24802	1
959	19196	17019	0
1250	3049	2412	0
499	8979	7390	1
148	19196	19455	1
839	12404	28781	0
1255	12722	6979	0
718	3818	7756	1
612	19447	19019	1
119	30121	31890	1
1280	36175	32052	0
540	15460	35422	1
1402	8119	33801	0
1399	15577	31634	0
861	12404	27187	0
1144	22071	3299	0
398	12154	28541	1
973	14278	33849	0
309	15512	5	1
207	8682	34310	1
173	36400	8100	1
711	12032	17781	1
312	15512	4278	1
669	3134	12450	1
276	4614	9291	1
452	27123	409	1
568	14462	13178	1
193	30927	27123	1
1253	12722	23901	0
974	14278	2480	0
39	12404	20879	1
144	19196	16677	1
422	8486	31330	1
423	8486	35760	1
1552	31889	30263	0
1359	19305	14220	0
1396	15577	37095	0
1465	2814	17841	0
981	36400	27172	0
1282	35379	18917	0
375	1987	26099	1
1121	15512	8668	0
619	14554	978	1
674	3134	35922	1
1259	5674	30257	0
413	8241	31171	1
284	15550	9060	1
1137	15512	18882	0
1394	23143	6802	0
1264	27123	28251	0
919	36295	22697	0
1084	4614	18373	0
752	28541	22072	1
852	12404	6471	0
1477	6697	37096	0
1145	22071	21148	0
168	6374	32093	1
464	9224	6834	1
735	21187	14733	1
417	8486	4110	1
843	12404	165	0
1357	22302	4067	0
614	19447	27123	1
1594	27341	7515	0
1467	2814	18887	0
1496	19001	2613	0
511	31705	28496	1
564	22562	36991	1
323	15512	29211	1
338	22071	34964	1
1421	19447	26138	0
1383	14462	7662	0
647	4020	35319	1
57	3122	15014	1
399	12154	36510	1
1026	27125	30721	0
465	36175	1444	1
1447	22929	25391	0
1269	27123	35218	0
1577	31655	33746	0
3	3192	8665	1
494	14307	21784	1
1067	12701	34523	0
1092	4614	18859	0
598	35847	28318	1
224	27125	31171	1
411	8241	23425	1
1151	31798	15211	0
971	14278	16864	0
928	30121	3614	0
756	28541	28137	1
577	23143	3562	1
451	5674	35319	1
479	14020	28444	1
265	31920	7317	1
941	146	29638	0
977	6374	7303	0
665	6697	7390	1
1168	26632	12383	0
78	9563	431	1
1610	30692	8577	0
1214	7390	36058	0
996	36400	6201	0
107	36295	15058	1
691	12931	34160	1
123	33240	7317	1
896	9563	3857	0
755	28541	27341	1
887	8342	7963	0
137	8401	34180	1
326	15512	35319	1
1393	23143	23835	0
682	35776	21784	1
1466	2814	31775	0
101	13614	19599	1
1404	35847	2067	0
1233	8486	14413	0
59	3122	25781	1
1079	31750	14509	0
1125	15512	21504	0
139	19196	5674	1
1146	22071	17923	0
1123	15512	12625	0
1238	27203	33901	0
1198	6520	27358	0
572	14462	18037	1
1027	27125	31823	0
1488	16964	31087	0
406	7390	13253	1
1204	12154	33740	0
724	28638	21956	1
551	25166	7317	1
589	15577	30943	1
354	26632	12032	1
66	3443	4083	1
1327	29062	3849	0
1165	26632	26856	0
1401	8119	18045	0
240	18698	17691	1
1439	29146	8463	0
609	28444	28375	1
997	30927	21503	0
344	33882	15460	1
1106	28420	18609	0
96	18227	15604	1
1263	27123	22541	0
339	22071	35389	1
113	26518	3125	1
292	18037	8979	1
1012	8682	13668	0
1016	8682	7967	0
210	23451	30567	1
639	22929	35760	1
875	8224	35759	0
659	2814	14511	1
337	22071	31115	1
606	21701	30698	1
1300	5	31915	0
1150	31798	9099	0
845	12404	22007	0
1098	2531	13035	0
1365	25166	29114	0
1234	3921	19085	0
623	14554	19017	1
949	19196	36885	0
1139	19599	9522	0
200	8682	2804	1
391	12154	3103	1
371	1987	8914	1
28	12404	9202	1
249	29399	3852	1
679	35776	14307	1
868	3122	35344	0
1363	25166	27800	0
179	36400	22852	1
539	15460	33882	1
349	30828	7466	1
1210	7390	5780	0
274	4614	7845	1
571	14462	15329	1
828	12404	17241	0
1015	8682	3788	0
1385	14462	32143	0
696	17835	12819	1
33	12404	16400	1
177	36400	19001	1
237	18698	7392	1
153	19196	28115	1
951	19196	27625	0
869	3122	23104	0
176	36400	8979	1
1101	18037	22013	0
1611	30692	8392	0
1585	27341	27461	0
228	31493	3554	1
950	19196	12836	0
159	19196	36903	1
373	1987	13253	1
534	2419	13253	1
580	23143	8665	1
4	3192	18705	1
1316	31705	12419	0
663	2814	34932	1
1512	22061	27513	0
1609	30692	26726	0
994	36400	12571	0
607	21701	35578	1
302	31265	15549	1
1185	1987	21300	0
1007	29980	35034	0
1147	22071	21646	0
1548	13407	36585	0
676	28001	30567	1
525	12838	24802	1
155	19196	35319	1
1588	27341	14631	0
1423	19447	12285	0
1272	27123	18325	0
191	30927	22408	1
1039	31493	28777	0
481	5	456	1
222	27125	15029	1
1129	15512	1492	0
732	57	26018	1
156	19196	35524	1
535	15460	7540	1
1148	22071	13309	0
478	14020	15329	1
55	12404	36983	1
335	22071	18980	1
1390	23143	35264	0
1062	9764	22535	0
1505	17835	2366	0
750	28541	14118	1
784	27341	32190	1
278	4614	26806	1
271	4614	2980	1
134	8401	9360	1
512	31705	28528	1
632	5442	32564	1
282	4614	31243	1
809	30692	37078	1
117	30121	2804	1
469	36175	27124	1
1558	28541	10715	0
798	30692	14467	1
1009	8682	23205	0
264	1369	31890	1
555	25166	12819	1
801	30692	18962	1
527	36352	15679	1
1579	31655	34082	0
883	3443	11775	0
641	14022	17551	1
1400	9554	19133	0
581	23143	9545	1
394	12154	8813	1
558	8818	2921	1
521	29062	26349	1
1510	21399	9281	0
728	25191	22562	1
685	19001	22072	1
986	36400	16575	0
763	31655	8189	1
127	33240	25166	1
502	31705	3122	1
1030	27125	33713	0
150	19196	25999	1
45	12404	27194	1
515	19019	27125	1
1343	2419	33757	0
529	36352	23507	1
1479	3134	21876	0
834	12404	8277	0
471	35379	5160	1
1318	31705	26763	0
948	19196	6108	0
170	6374	35318	1
1157	15527	21324	0
989	36400	37248	0
602	21701	12776	1
194	30927	28644	1
321	15512	21267	1
1574	31655	14256	0
826	14010	14550	0
1192	6520	27475	0
876	3443	22274	0
1387	23143	26749	0
1608	30692	30113	0
893	9563	29571	0
289	18037	3595	1
1221	8241	26868	0
30	12404	9563	1
38	12404	20878	1
132	8401	6834	1
1245	34007	5694	0
707	12032	8047	1
1313	31705	29287	0
545	22302	12234	1
818	26203	20037	0
483	5	4626	1
1099	18037	9412	0
104	20941	14118	1
793	30692	5160	1
767	31655	19001	1
550	29277	22061	1
642	4020	1444	1
1304	14307	34228	0
1025	22594	27059	0
942	8401	26105	0
1526	12032	20188	0
916	20941	35945	0
95	18879	14733	1
1484	3134	17444	0
1122	15512	6553	0
693	17835	8401	1
1312	31705	19934	0
935	33240	31144	0
1425	19447	35100	0
1475	6697	2151	0
610	6281	12154	1
1175	3696	17674	0
41	12404	22920	1
783	27341	30040	1
915	20941	25765	0
583	23143	24802	1
1524	12032	35965	0
1107	28420	21249	0
1455	4020	32368	0
753	28541	23139	1
1353	22302	7271	0
269	31750	19017	1
492	14307	14956	1
1036	27125	31479	0
121	33885	16749	1
842	12404	18902	0
757	28541	36272	1
