	TF ID	Target ID
192	4614	9291
193	4614	25482
194	4614	26806
195	4614	27482
196	4614	28048
197	4614	30828
198	4614	31243
199	4614	35760
200	4663	371
204	4846	7317
205	4946	9060
206	4946	14613
207	4946	15029
209	4946	35319
210	5442	1782
211	5442	13794
213	5442	32564
214	5442	34081
215	5674	9060
216	5674	12168
218	5674	35318
219	5674	35319
220	5697	5697
221	5697	15029
222	5697	35319
223	5798	14463
225	6281	12154
226	6373	36400
227	6374	212
228	6374	3258
229	6374	20996
230	6374	32093
231	6374	35178
232	6374	35318
233	6414	409
234	6414	14462
236	6520	3443
237	6520	4083
238	6520	8189
239	6520	14753
240	6520	19196
241	6520	19455
242	6520	19565
243	6520	27085
244	6520	33895
245	6520	35195
246	6697	7390
247	6697	14462
248	6697	28541
249	6697	36272
250	6699	18578
252	6834	330
253	6834	3514
254	6834	7864
255	6834	12753
256	6834	14423
257	6834	19840
258	6834	22156
259	6834	25166
260	6834	25708
261	6834	30943
262	6834	31288
263	6834	31308
264	6834	34180
265	6834	35520
266	7382	2921
267	7382	5645
268	7382	7382
269	7382	11740
270	7382	19039
271	7382	23803
272	7390	3595
274	7390	4400
275	7390	5812
276	7390	7775
277	7390	8914
278	7390	8979
279	7390	13253
280	7390	14462
281	7390	19058
282	7390	21350
284	7390	31518
286	7540	8401
287	7540	9360
288	7540	12816
289	7540	12819
290	7540	14423
291	7540	15460
293	7540	25166
294	7540	26830
295	7540	30292
296	7540	30943
297	7540	35422
298	7775	3595
299	7775	4553
300	7775	7390
301	7775	8342
302	7775	13178
303	7775	14020
304	7775	14118
305	7775	15329
306	7775	18037
307	7775	23139
308	7775	24802
309	7775	29378
311	7775	35506
312	7775	36531
313	7860	14956
314	7864	14423
315	7887	11740
317	8119	12154
318	8119	26349
319	8183	4400
320	8183	8100
321	8183	12701
322	8183	15381
323	8183	15604
324	8183	22072
325	8183	26018
326	8183	26349
327	8183	27018
328	8183	29409
329	8183	31655
330	8183	36295
331	8183	36400
332	8189	26349
333	8224	21267
334	8224	31171
335	8224	35319
336	8241	23425
337	8241	28494
338	8241	31171
339	8241	35178
340	8241	35319
341	8342	26349
342	8401	6834
343	8401	7540
344	8401	9360
345	8401	25166
346	8401	33240
347	8401	34180
348	8456	7756
349	8456	15381
350	8456	36400
351	8486	2814
352	8486	4110
353	8486	7466
354	8486	9291
355	8486	14511
356	8486	30828
357	8486	31330
358	8486	35760
359	8682	2803
360	8682	2804
361	8682	9159
362	8682	12673
363	8682	18579
364	8682	22263
365	8682	27828
366	8682	28790
367	8682	34310
368	8682	36293
369	8818	2921
375	8979	7390
376	8979	36400
377	9142	27334
378	9142	35578
379	9224	6834
380	9291	2757
381	9291	6225
382	9291	13620
383	9291	14399
384	9291	14511
385	9291	14827
386	9291	28120
387	9291	28564
388	9291	34932
389	9291	35536
390	9334	3921
391	9360	2366
392	9360	6448
393	9360	18229
394	9360	31031
395	9360	35422
396	9554	26349
397	9563	431
399	9563	8342
400	9563	9919
401	9563	12670
402	9563	14307
403	9563	14956
404	9563	19599
405	9563	20079
407	9563	22962
409	9563	31881
411	9563	34992
412	9563	36352
413	9606	25191
415	9764	2921
416	9764	7382
417	12032	2435
418	12032	7081
419	12032	7911
420	12032	8047
421	12032	8628
422	12032	8911
423	12032	8925
424	12032	17781
425	12032	19705
426	12032	21760
427	12032	23120
428	12032	31288
429	12032	34950
430	12154	3103
431	12154	3443
432	12154	7390
433	12154	8813
434	12154	13253
435	12154	21350
436	12154	26349
437	12154	28541
438	12154	36510
439	12404	271
440	12404	295
441	12404	313
442	12404	1751
445	12404	3118
447	12404	6378
448	12404	7860
449	12404	8171
450	12404	8253
451	12404	8577
452	12404	9202
453	12404	9417
454	12404	9563
456	12404	14307
457	12404	14753
458	12404	16400
459	12404	16477
460	12404	17587
461	12404	19130
462	12404	19196
463	12404	20878
464	12404	20879
465	12404	21652
466	12404	22920
467	12404	25333
468	12404	26321
469	12404	26928
470	12404	27194
471	12404	27355
472	12404	28786
474	12404	31734
475	12404	32368
476	12404	34172
477	12404	35431
478	12404	35540
479	12404	35578
480	12404	36967
481	12404	36983
482	12670	21349
483	12670	27123
484	12701	3696
485	12701	3852
486	12701	7756
487	12701	15381
488	12701	26349
490	12709	8183
491	12709	36400
492	12722	14639
493	12722	14641
494	12722	17264
495	12722	18136
496	12722	18186
497	12722	18187
498	12838	24802
499	12931	14812
500	12931	20996
501	12931	22302
502	12931	27833
503	12931	34160
504	13131	6827
505	13131	7158
506	13131	8748
507	13131	15549
508	13131	17333
509	13131	18962
510	13131	19165
516	13259	7756
517	13337	3852
518	13337	8183
519	13337	36400
520	13357	62
521	13357	22566
522	13357	22737
523	13357	29358
524	13378	17551
525	13400	7756
526	13407	23139
527	13591	8748
528	13591	11740
529	13591	13131
530	13591	28451
531	13591	36416
532	13614	19599
533	14010	8183
534	14010	36295
535	14010	36400
536	14014	30567
537	14020	15329
538	14020	28444
539	14020	31730
540	14022	12154
541	14022	17551
542	14118	7775
543	14118	12154
544	14118	15329
547	14278	13757
548	14278	22057
549	14278	31798
550	14278	32044
551	14307	14307
552	14307	14747
553	14307	14956
554	14307	17572
555	14307	21784
556	14307	25999
557	14307	35776
558	14307	36759
559	14307	36903
560	14381	5595
561	14381	35506
562	14423	9360
563	14423	14423
564	14462	3595
565	14462	4553
566	14462	8342
567	14462	13178
568	14462	14020
569	14462	14118
570	14462	15329
571	14462	18037
572	14462	24802
573	14462	29378
574	14462	35506
575	14462	36531
576	14554	978
577	14554	11740
578	14554	17691
579	14554	18041
580	14554	19017
581	14554	19460
582	14554	21855
583	14554	30005
584	14554	36293
585	14753	8189
586	14753	12323
587	14753	14307
588	14753	14753
589	14753	19196
590	14753	27324
591	14753	29374
592	14753	36759
593	14835	15495
594	14986	13614
595	14986	35422
596	15058	23130
597	15058	36991
598	15081	4276
599	15081	25716
600	15081	30943
601	15081	36119
602	15329	8183
603	15329	14118
604	15329	15058
605	15329	26349
606	15329	36295
607	15381	3696
608	15381	36400
609	15445	25205
610	15460	7540
611	15460	9360
612	15460	14423
613	15460	15460
614	15460	31031
615	15460	33882
617	15460	35422
618	15495	13958
619	15506	2814
620	15506	4110
621	15506	7466
622	15506	9291
623	15506	28048
624	15506	30828
625	15506	35760
626	15512	5
627	15512	456
628	15512	3527
629	15512	4278
630	15512	4626
631	15512	7756
632	15512	12597
633	15512	14733
634	15512	15081
635	15512	15508
636	15512	18354
637	15512	21187
638	15512	21267
639	15512	22594
640	15512	29211
642	15512	31413
643	15512	34992
644	15512	35319
645	15512	35903
646	15512	36347
647	15516	22562
648	15527	146
649	15527	15508
650	15550	9060
651	15550	32188
652	15577	21722
653	15577	25908
654	15577	30292
655	15577	30943
656	15683	55
657	15756	1447
658	15756	12339
659	16056	13131
660	16142	9919
661	16142	13259
662	16142	14307
663	16142	14956
664	16142	19196
665	16387	11740
666	16387	19165
667	16964	7756
669	17501	34081
670	17576	12032
671	17666	11740
672	17666	34392
673	17835	8401
674	17835	9360
675	17835	12816
676	17835	12819
677	17835	14423
678	17884	14511
679	17884	15506
680	17884	22929
681	17884	26329
682	17884	31330
683	17884	35599
684	18037	3595
685	18037	6697
686	18037	7390
687	18037	8979
688	18037	13702
689	18037	19024
690	18041	17691
691	18041	34392
692	18041	35318
693	18041	35870
694	18041	36903
695	18080	20996
696	18080	32093
697	18080	35178
700	18227	15604
701	18227	19017
703	18227	34392
704	18236	36510
705	18324	2318
706	18324	2346
707	18324	5160
708	18324	18962
709	18324	21280
710	18324	30943
711	18490	7756
712	18490	9751
713	18490	26092
714	18490	30567
715	18527	35318
716	18644	34392
717	18698	7392
718	18698	8795
719	18698	12339
721	18698	17691
722	18698	19017
723	18698	27355
724	18698	32157
725	18698	34392
726	18698	34737
727	18698	34740
728	18698	35540
729	18879	14467
730	18879	14733
732	19001	3599
733	19001	12154
734	19001	22072
735	19001	31655
736	19019	27123
737	19019	27124
738	19019	27125
739	19196	313
740	19196	5674
741	19196	8189
742	19196	14307
743	19196	14747
744	19196	16142
745	19196	16677
746	19196	17572
747	19196	18527
748	19196	18909
749	19196	19196
750	19196	19455
751	19196	21784
752	19196	25999
753	19196	27322
754	19196	27324
755	19196	28115
756	19196	29409
757	19196	35319
758	19196	35524
759	19196	35776
760	19196	36759
761	19196	36903
762	19196	36983
763	19305	34180
764	19447	15029
765	19447	19019
766	19447	22845
767	19447	27123
768	19447	27124
769	19447	27125
770	19447	35319
771	19447	35423
774	19455	7381
775	19455	8189
776	19455	9417
777	19455	14747
778	19455	14872
779	19455	19196
780	19455	19455
781	19455	21784
782	19455	27324
784	19455	36759
785	19455	36903
787	19576	3443
788	19578	16749
789	19578	18909
791	19599	9360
792	19599	14423
793	19599	15460
795	19599	35422
796	19671	35760
803	20941	14118
804	20941	15329
805	20941	28553
806	21187	5
807	21187	3527
808	21187	14733
809	21187	15512
810	21187	21187
811	21187	36347
812	21358	25431
813	21399	30567
814	21399	35922
815	21574	25166
816	21626	6003
817	21626	9711
818	21626	15604
819	21701	7052
820	21701	12776
821	21701	23309
822	21701	27334
823	21701	28496
824	21701	30698
825	21701	35578
826	22061	318
827	22061	17669
828	22061	29277
829	22071	14747
830	22071	15122
831	22071	18980
832	22071	19196
833	22071	31115
834	22071	34964
835	22071	35389
836	22072	6966
837	22072	8183
838	22072	8189
839	22072	8224
840	22072	11911
841	22072	13490
842	22072	19001
843	22072	22072
844	22072	27203
845	22072	27557
846	22072	27686
847	22072	28318
848	22072	31655
849	22072	32266
850	22072	35847
851	22101	20079
852	22184	22363
853	22184	22364
854	22184	35447
855	22302	3174
856	22302	8828
857	22302	11733
858	22302	11740
859	22302	12234
860	22302	22395
861	22302	26986
862	22302	34392
865	22562	23130
866	22562	36991
868	22594	28543
869	22594	33305
872	22929	2814
873	22929	4110
874	22929	7466
875	22929	9291
876	22929	30828
877	22929	35760
880	23130	22421
881	23130	28444
882	23130	37199
883	23139	7390
884	23139	7775
885	23139	36295
886	23143	3562
887	23143	7390
888	23143	8388
889	23143	8665
890	23143	9545
891	23143	14462
892	23143	24802
893	23143	28137
894	23143	37007
895	23280	12296
896	23280	26907
897	23319	6003
898	23319	28137
899	23451	15381
900	23451	30567
901	23451	36400
902	23803	19039
903	24802	24802
905	24802	36531
906	25166	7317
907	25166	8401
908	25166	9360
909	25166	12816
910	25166	12819
911	25166	14423
912	25166	25166
913	25166	34180
914	25191	3696
915	25191	15058
916	25191	22562
917	25191	26349
918	25855	14467
919	25855	14733
920	25855	18879
922	25989	19017
923	25989	36510
925	26203	6827
926	26203	12663
927	26203	15549
928	26203	30776
930	26349	3696
931	26349	8119
932	26349	8183
933	26349	8189
934	26349	12154
935	26349	15287
936	26349	19001
937	26349	22072
938	26349	26349
939	26349	27341
940	26349	27484
941	26349	28001
943	26349	30951
944	26518	1711
945	26518	3125
946	26518	3279
947	26518	36404
948	26632	12032
949	26632	19080
950	26632	19671
951	26632	21760
952	26632	31801
953	26684	15060
954	26907	12296
955	26907	26907
956	26934	26934
957	26959	1508
958	26986	11740
960	27011	3696
961	27011	4544
962	27011	19076
963	27011	25716
964	27018	3696
965	27018	15381
966	27018	26349
967	27018	36400
968	27123	409
969	27123	2451
971	27123	5461
972	27123	5697
973	27123	9060
974	27123	14613
975	27123	15029
976	27123	21692
977	27123	27124
978	27123	27125
980	27123	31337
981	27123	35319
982	27124	1862
983	27124	3258
984	27124	3259
985	27124	3278
986	27124	5461
987	27124	5697
988	27124	11813
989	27124	15028
990	27124	15029
991	27124	17572
992	27124	17701
993	27124	21692
995	27124	31171
996	27124	31337
997	27124	32188
998	27124	35319
999	27125	152
1001	27125	3258
1002	27125	3279
1003	27125	5461
1004	27125	5697
1005	27125	14100
1006	27125	15029
1007	27125	21692
1010	27125	31171
1011	27125	31337
1012	27125	35319
1013	27130	8183
1014	27203	6966
1015	27203	11911
1016	27203	13490
1017	27203	27557
1018	27203	27686
1019	27203	28318
1020	27203	32266
1021	27341	3599
1022	27341	3696
1023	27341	12154
1024	27341	25600
1025	27341	26349
1026	27341	26684
1027	27341	27953
1029	27341	28725
1030	27341	30040
1031	27341	32190
1032	27341	36827
1033	27350	13958
1034	27350	35178
1035	27437	23939
1036	27437	30987
1037	27494	9728
1039	27494	15322
1040	27494	17388
1041	27494	19039
1042	27494	21829
1043	27494	31645
1044	27494	32091
1045	27666	17551
1046	27833	12931
1047	27833	14812
1048	27833	20996
1049	27833	22302
1050	27833	27833
1051	27833	34160
1052	27862	7613
1053	27862	8828
1054	27862	11740
1056	27877	36510
1057	27975	1635
1058	27990	28528
1059	28001	18037
1060	28001	30567
1061	28115	17572
1062	28115	17701
1063	28115	35318
1064	28188	20079
1065	28188	21267
1066	28230	26830
1067	28230	34180
1069	28420	4278
1070	28420	25205
1071	28420	28241
1072	28437	24802
1087	28444	9417
1088	28444	28375
1089	28516	25166
1090	28528	318
1092	28528	22061
1093	28528	29277
1094	28541	3599
1095	28541	8189
1096	28541	14118
1097	28541	15329
1098	28541	22072
1099	28541	23139
1100	28541	26349
1101	28541	27341
1102	28541	28137
1103	28541	36272
1104	28541	36400
1105	28638	6225
1106	28638	7706
1107	28638	13620
1108	28638	21956
1109	28638	28638
1110	28638	30943
1111	29039	7613
1112	29039	11740
1113	29039	20996
1114	29039	32091
1115	29062	3852
1116	29062	8183
1117	29062	15058
1118	29062	22562
1119	29062	24802
1120	29062	26349
1121	29062	36400
1122	29062	36991
1123	29146	13530
1124	29146	22057
1125	29277	22061
1126	29378	29816
1127	29399	3852
1128	29486	35922
1129	29687	51
1130	29687	6348
1131	29687	14863
1132	29687	15029
1133	29687	17701
1134	29687	18315
1135	29687	21692
1136	29687	28081
1137	29687	35318
1138	29687	35319
1139	29687	36164
1140	29816	26349
1141	29822	12032
1142	29822	36400
1144	29980	11740
1145	29980	34392
1146	29982	11740
1147	29982	34392
1148	30005	7540
1149	30005	22229
1150	30005	36293
1151	30121	2803
1152	30121	2804
1153	30121	25669
1154	30121	31890
1155	30121	36352
1156	30123	31890
1158	30503	22421
1159	30567	456
1161	30567	7756
1162	30567	15381
1163	30567	21187
1166	30609	26349
1167	30692	2318
1168	30692	2346
1169	30692	4277
1170	30692	4278
1171	30692	5160
1172	30692	7006
1173	30692	7939
1174	30692	9224
1175	30692	14307
1176	30692	14467
1177	30692	14733
1178	30692	15577
1179	30692	18962
1180	30692	18989
1181	30692	25781
1182	30692	25908
1183	30692	26830
1184	30692	27990
1186	30692	30943
1187	30692	34180
1188	30692	37078
1189	30722	1635
1190	30828	2814
1191	30828	7466
1192	30828	9291
1193	30828	26806
1194	30927	152
1195	30927	8474
1196	30927	12524
1197	30927	15400
1198	30927	22408
1199	30927	22852
1200	30927	27123
1201	30927	28644
1202	30927	34580
1203	30951	12154
1205	31031	9360
1206	31031	14423
1207	31031	15460
1209	31031	33882
1210	31031	35422
1211	31053	14278
1212	31053	21358
1213	31053	31798
1221	31158	34737
1224	31265	1444
1225	31265	6827
1226	31265	12663
1227	31265	15549
1228	31265	17333
1229	31265	30776
1230	31316	27508
1231	31331	20941
1232	31331	29389
1233	31331	31846
1234	31459	36400
1235	31493	3554
1237	31493	22284
1239	31493	36087
1240	31493	36141
1241	31655	6966
1242	31655	8183
1243	31655	8189
1244	31655	8224
1245	31655	11911
1246	31655	13490
1247	31655	19001
1248	31655	22072
1249	31655	27203
1250	31655	27557
1251	31655	27686
1252	31655	28318
1253	31655	31655
1254	31655	32266
1255	31655	35847
1256	31705	409
1257	31705	3122
1258	31705	15014
1259	31705	15357
1260	31705	18087
1261	31705	18705
1263	31705	22498
1264	31705	25781
1265	31705	25782
1266	31705	27334
1267	31705	28496
1268	31705	28528
1269	31750	19017
1270	31798	14789
1271	31798	22057
1272	31798	32044
1273	31837	11740
1274	31889	1444
1275	31889	3165
1276	31889	14462
1277	31889	28541
1278	31889	35506
1279	31920	7317
1280	32285	18909
1281	33240	7317
1282	33240	9360
1283	33240	14423
1284	33240	22591
1285	33240	25166
1286	33240	26830
1287	33240	34180
1288	33289	26349
1289	33465	4064
1290	33465	15287
1291	33465	35578
1296	33882	9360
1297	33882	15460
1298	33882	33882
1299	33882	35422
1300	33885	16749
1301	33886	3443
1313	34007	3599
1314	34007	12154
1315	34007	26349
1316	34156	3599
1317	34156	8665
1318	34244	25600
1319	34244	32190
1320	34590	12154
1321	34590	17551
1322	34590	36121
1323	34737	978
1324	34737	8523
1325	34737	16398
1326	34737	22229
1327	34737	34392
1328	34902	3449
1329	34902	29541
1330	35279	15029
1331	35279	35319
1332	35379	5160
1333	35379	9131
1334	35379	36742
1335	35422	9360
1336	35422	9669
1337	35422	14423
1338	35422	35422
1339	35422	36851
1340	35423	19447
1341	35506	3595
1342	35506	6697
1343	35506	7390
1344	35506	8979
1345	35506	13702
1346	35506	19024
1347	35524	8748
1348	35760	17636
1349	35760	31801
1350	35776	14307
1351	35776	14747
1352	35776	19196
1353	35776	21784
1354	35847	6966
1355	35847	11911
1356	35847	13490
1357	35847	27557
1358	35847	27686
1359	35847	28318
1360	35847	32266
1361	36146	15512
1362	36175	1444
1363	36175	13591
1364	36175	21114
1365	36175	27123
1366	36175	27124
1367	36175	27125
1369	36293	12458
1370	36293	12673
1371	36293	27828
1372	36293	28790
1373	36293	29748
1374	36295	15058
1375	36295	22562
1376	36295	23130
1377	36295	36400
1378	36295	36991
1379	36335	27123
1380	36335	27125
1381	36352	12458
1382	36352	15679
1383	36352	16207
1385	36352	23507
1386	36352	25669
1387	36352	27828
1388	36352	31890
1389	36400	3852
1390	36400	6373
1391	36400	8100
1392	36400	8183
1393	36400	8189
1394	36400	8979
1395	36400	19001
1396	36400	22072
1397	36400	22852
1398	36400	26349
1399	36400	27018
1400	36400	29399
1401	36400	29409
1402	36400	30724
1403	36400	31655
1404	36400	35237
1405	36415	52
1407	36415	25352
1408	36415	28541
1409	36415	28543
1410	36415	32212
1411	36416	34392
1412	36454	2814
1413	36454	4110
1414	36454	7466
1415	36454	9291
1416	36454	30828
1417	36454	35760
1418	36459	7756
1420	36747	15381
1421	36966	8342
1422	36966	24802
